F0-Autocorrelação;F0-FFT;F1-FFT;F2-FFT;F3-FFT;F4-FFT;E0-FFT;E1-FFT;E2-FFT;E3-FFT;E4-FFT
123,87097;121;195;368;505;578;284,20799;72,908013;67,828228;37,261526;27,152161
125,32637;128;242;372;614;36221;99,845603;29,381038;18,280641;10,961809;5,8082446
136,55761;136;280;369;559;614;347,18454;81,405096;60,2354;34,542001;27,442883
134,35969;140;258;316;504;735;233,61116;141,69198;48,79631;38,56688;26,505999
118,0086;118;228;360;475;543;227,08131;74,204508;35,377063;18,847424;14,241833
113,74408;101;235;285;658;736;286,40486;161,5573;64,282214;50,227502;27,859982
109,58904;218;424;542;750;800;360,70302;54,92728;54,822796;35,993374;21,60338
118,95911;113;163;230;474;594;272,45454;104,21421;51,294789;27,268709;22,284211
99,481865;95;152;202;285;435;188,10885;54,029948;48,934651;37,529951;24,406867
104,63215;106;161;227;309;415;480,37094;113,69216;76,391143;69,435239;35,828847
114,14982;113;173;227;277;498;198,47829;83,007398;70,551521;25,34537;21,845754
105,20548;213;318;421;795;900;232,34304;108,15796;71,792186;36,412857;23,892565
77,922078;85;156;227;371;36337;29,007289;25,420271;10,760562;8,6672746;5,2907929
67,605634;130;212;404;463;36200;87,693086;24,243279;12,968605;12,004518;5,9664405
98,918083;88;200;250;300;390;217,6908;129,42608;65,224651;50,19895;37,378678
92,753623;94;144;210;268;360;338,83284;78,195336;73,773076;63,784385;57,937833
101,47992;205;306;412;510;587;420,27125;131,48859;61,659362;45,512507;27,160429
95,28536;98;190;268;361;468;257,2374;116,57271;45,305341;41,599044;31,134941
98,816264;99;190;298;410;36510;53,220863;33,792201;17,090484;7,1080309;5,6743906
93,068347;102;188;238;351;421;288,6662;175,03083;120,00246;85,511598;66,151978
96,774194;100;193;284;488;583;76,548052;61,774237;26,74462;13,187546;11,906707
65,596174;135;247;517;652;911;276,24651;114,75755;90,353051;67,333078;32,891379
129,90528;125;260;411;504;557;65,605469;36,511246;10,381728;7,0925823;5,9538567
108,78187;220;333;435;766;842;362,56709;107,33791;62,468;36,347229;17,866978
56,288478;112;178;235;333;401;269,94083;126,98926;107,18312;62,671803;53,633933
118,37238;106;156;212;265;341;245,29109;92,193235;85,879114;74,1999;57,982936
107,20268;104;156;231;427;742;183,93565;48,973162;34,357751;33,803383;20,866803
89,13649;96;273;512;746;869;165,19152;135,59831;52,379298;23,907089;16,926298
121,28869;124;207;312;396;447;468,55172;139,59304;81,323561;73,65475;65,707611
111,23986;106;219;333;669;767;87,912485;61,012838;29,0299;10,005939;9,4879311
111,88811;226;438;560;652;770;200,63862;108,4146;47,73108;28,362741;19,347211
96,53092;101;192;386;580;644;308,96342;141,90534;81,061167;37,38276;20,178622
109,21502;117;217;433;547;759;181,97637;172,20296;72,725307;35,148667;12,034166
124,83745;125;248;365;444;538;128,54942;69,136402;25,734103;23,330173;15,229743
77,450585;84;139;541;591;836;44,628473;40,595351;23,959983;13,398256;10,406356
115,59302;116;225;363;470;579;81,24804;30,908747;15,615432;10,577788;7,1655825
118,81188;121;239;468;582;1043;156,90697;53,858738;22,023559;18,457963;7,3521234
105,26316;201;309;531;974;1096;168,84041;77,575275;74,059295;14,272742;8,7192992
106,78532;106;209;308;429;538;376,07243;58,307524;48,358685;41,107867;18,84652
105,61056;105;212;425;524;735;291,77819;165,49379;64,239668;28,19735;16,255559
112,14953;113;211;442;550;685;226,00061;68,218336;19,273506;14,555391;9,7146431
114,14982;109;226;476;576;688;372,06104;147,97449;97,940299;47,850798;32,135813
106,25346;213;527;648;731;838;150,31609;47,845551;17,076212;14,424725;10,113597
118,15385;136;223;295;446;545;208,34284;101,4154;71,299169;53,868517;34,00955
107,68368;116;167;226;334;486;277,19352;100,3007;95,50622;86,502657;73,08781
113,67673;113;228;477;539;608;463,74736;324,21165;145,66059;92,72224;50,890472
104,29115;94;206;307;524;586;153,68221;132,86328;64,508648;56,547557;27,978214
110,79054;103;153;203;298;359;51,207056;28,55895;13,136473;9,5704558;5,5309068
117,00183;250;474;566;799;875;106,77736;73,927514;41,881375;17,785815;12,508377
114,55847;106;156;264;314;455;242,63528;114,06864;39,540433;33,211583;29,09048
112,3464;221;451;576;667;793;61,729714;10,937257;8,4772212;7,0381882;5,6677476
75,20564;138;243;305;442;538;219,73918;97,933783;86,414353;50,690471;27,033943
106,48918;212;325;537;620;761;278,72015;75,345184;40,896933;20,766795;19,319937
98,109351;110;200;288;505;685;98,421611;83,471305;46,749034;33,920427;12,544439
101,53358;97;147;205;302;36674;12,392097;9,0046466;7,3313626;6,8902121;4,4855329
81,081081;84;235;644;737;880;136,90076;88,053716;53,884823;38,659502;19,141342
102,18201;203;255;508;561;611;385,06757;148,36003;51,444069;21,865176;20,091744
118,88545;102;152;212;384;732;204,86948;100,91944;71,282778;52,532419;32,471947
99,688474;198;398;496;586;775;344,22481;88,001863;64,901687;43,385668;25,544995
138,72832;138;235;342;462;595;233,06786;74,488654;46,332949;37,52692;33,703348
