F0-Autocorrelação;F0-FFT;F1-FFT;F2-FFT;F3-FFT;F4-FFT;E0-FFT;E1-FFT;E2-FFT;E3-FFT;E4-FFT
149,06832;154;285;446;496;559;644,69923;164,60196;105,86043;55,957874;55,710282
164,80687;168;312;466;550;664;152,96259;95,491996;46,843755;37,04911;19,07262
168,86544;165;325;685;863;1033;249,34967;129,9186;89,440915;69,123717;17,565153
166,37782;167;337;515;652;743;609,03476;112,23876;70,587473;50,289312;33,363679
149,76599;294;495;601;747;897;344,09717;71,743863;59,721993;37,168055;29,564357
102,01913;97;291;643;757;957;261,8517;250,17433;104,35781;38,675201;36,032586
77,953715;159;308;463;620;937;223,32502;108,44264;34,526905;33,68992;17,995372
161,75232;158;316;491;656;813;523,55055;319,89695;119,47945;65,354103;50,886052
81,59796;161;295;485;547;746;152,50233;96,206732;62,561834;39,158212;36,645696
151,53907;152;455;609;760;820;237,69396;68,751129;20,801114;17,419384;9,5849569
156,09756;158;311;626;769;933;296,73704;181,1051;88,587629;28,749917;25,066193
156,73469;158;217;318;452;827;268,93902;117,38903;88,476747;55,709137;20,936918
159,46844;158;500;647;807;993;144,25941;72,86406;50,68215;24,878945;16,928681
78,979844;317;374;539;781;949;162,33022;51,078553;43,669571;26,149613;19,899289
162,57409;151;321;504;668;839;268,48468;99,223931;35,275631;31,138722;19,728601
161,07383;189;305;372;447;778;216,10927;209,494;52,243253;38,70972;37,256258
163,54344;160;335;498;608;802;172,37132;112,97786;46,071813;40,87781;38,296531
164,38356;158;321;371;523;717;246,57575;117,03714;66,268508;45,480047;32,448452
149,18415;147;301;444;603;745;267,82584;255,09898;102,48659;68,686702;19,373178
174,70428;198;321;691;835;939;251,76601;168,07177;102,44736;48,071051;40,917095
196,51996;194;244;300;362;450;145,0667;79,785401;71,971962;69,814935;53,858123
73,506891;294;446;585;741;894;241,43474;73,150903;46,248447;23,475499;18,735564
146,0076;142;290;450;548;610;99,55843;61,290855;40,090439;23,355126;16,098214
155,71776;160;312;461;659;747;141,38888;95,348737;57,7042;32,637535;19,123836
167,979;337;507;672;849;1001;252,27857;50,889699;33,818579;33,535924;17,290604
160,80402;167;326;445;500;565;189,64816;163,71467;56,841389;42,320855;28,838208
172,66187;171;334;384;502;555;309,59509;236,41721;108,53967;63,016016;46,778386
154,21687;156;313;470;627;35838;198,10446;41,339124;24,147322;19,814268;8,6250103
156,99101;157;314;630;785;943;171,83548;142,3485;49,623759;19,35715;18,948437
148,26255;150;298;597;873;1044;276,23463;236,10596;96,02222;19,740112;16,836944
166,37782;179;337;462;637;699;191,79572;98,307517;48,885396;42,996249;23,531199
143,28358;150;280;420;575;737;245,30051;140,37233;84,155478;60,952271;28,440741
151,77866;301;600;757;893;35699;98,587619;78,557424;29,986861;9,4766493;6,7308192
156,47922;313;621;766;955;1248;283,7359;48,569418;35,943925;14,532255;12,083021
78,656288;154;313;633;779;947;217,50425;153,98471;84,973458;33,873803;15,322867
